org_itemid,org_name
80084,PROTEUS SPECIES
80085,CORYNEBACTERIUM SPECIES (DIPHTHEROIDS)
80086,ACIDFAST BACILLI
80087,STENOTROPHOMONAS MALTOPHILIA
80088,LACTOBACILLUS SPECIES
80089,GAMMA(I.E. NON-HEMOLYTIC) STREPTOCOCCUS
80090,SERRATIA SPECIES
80091,LISTERIA MONOCYTOGENES
80092,AEROCOCCUS VIRIDANS
80093,MYCOBACTERIUM GORDONAE
80094,KLEBSIELLA SPECIES
80095,MYCOBACTERIUM FORTUITUM
80096,STREPTOMYCES SPECIES
80097,PROVIDENCIA SPECIES
80098,CITROBACTER SPECIES
80099,CANDIDA PARAPSILOSIS
80100,CANDIDA GUILLIERMONDII
80101,CANDIDA KRUSEI
80102,SACCHAROMYCES CEREVISIAE
80103,SPOROBOLOMYCES SALMONICOLOR
80105,RHIZOPUS SPECIES
80106,CANDIDA TROPICALIS
80107,CAMPYLOBACTER SPECIES
80108,PROPIONIBACTERIUM ACNES
80110,MUCOR SP.
80111,ENTEROCOCCUS AVIUM
80112,BACTEROIDES FRAGILIS GROUP
80113,ENTEROBACTER SPECIES
80114,ASPERGILLUS FLAVUS
80115,PROPIONIBACTERIUM SPECIES
80116,FUSARIUM SPECIES
80117,AUREOBASIDIUM PULLULANS
80118,STREPTOCOCCUS SALIVARIUS
80119,NUTRITIONALLY VARIANT STREPTOCOCCUS
80121,BACTEROIDES FRAGILIS
80122,KLUYVERA SPECIES
80123,ANAEROBIC BACTERIA
80124,EXOPHIALA JEANSELMEI COMPLEX
80125,FUSOBACTERIUM SPECIES
80126,CLADOSPORIUM SPECIES
80127,FUNGUS
80128,FUSOBACTERIUM NUCLEATUM
80129,CLOSTRIDIUM SEPTICUM
80130,MYCELIA STERILIA
80131,SALMONELLA HADAR
80132,ENTAMOEBA COLI
80133,GIARDIA LAMBLIA
80134,ENDOLIMAX NANA
80135,ASCARIS LUMBRICOIDES
80136,ACTINOMYCES ODONTOLYTICUS
80137,CANDIDA LUSITANIAE
80138,STAPHYLOCOCCUS SPECIES
80139,CLOSTRIDIUM DIFFICILE
80140,BLASTOCYSTIS HOMINIS
80141,CORYNEBACTERIUM JEIKEIUM (C.D.C. GROUP JK)
80142,FUSOBACTERIUM NECROPHORUM
80143,CYTOMEGALOVIRUS 
80144,HERPES SIMPLEX VIRUS TYPE 1
80145,HERPES SIMPLEX VIRUS TYPE 2
80146,ADENOVIRUS
80147,CHLAMYDIA TRACHOMATIS
80148,ASPERGILLUS VERSICOLOR GROUP 
80149,PAECILOMYCES SPECIES
80150,TRICHODERMA SP.
80151,CITROBACTER KOSERI
80152,ESCHERICHIA FERGUSONII
80153,MORAXELLA OSLOENSIS
80155,"STAPHYLOCOCCUS, COAGULASE NEGATIVE"
80156,CORYNEBACTERIUM STRIATUM
80157,ACREMONIUM SPECIES
80158,MYCOBACTERIUM AVIUM COMPLEX
80159,MYCOBACTERIUM TUBERCULOSIS COMPLEX
80160,BACILLUS SUBTILIS 
80161,STRONGYLOIDES STERCORALIS 
80162,STAPHYLOCOCCUS LUGDUNENSIS
80163,MOLD
80164,ENTEROBACTER ASBURIAE
80165,TRICHOPHYTON SPECIES
80168,ENTEROCOCCUS FAECIUM
80169,ENTAMOEBA HARTMANNI
80170,LEUCONOSTOC SPECIES
80171,STREPTOCOCCUS ANGINOSUS
80172,ENTEROCOCCUS FAECALIS
80173,VEILLONELLA SPECIES
80174,CURVULARIA SP.
80175,VIRUS
80176,VARICELLA-ZOSTER VIRUS
80177,RESPIRATORY SYNCYTIAL VIRUS (RSV)
80178,INFLUENZA A VIRUS
80179,INFLUENZA B VIRUS
80180,PARAINFLUENZA VIRUS TYPE 1
80181,PARAINFLUENZA VIRUS TYPE 3
80182,OCHROBACTRUM ANTHROPI
80183,GEMELLA MORBILLORUM
80184,ENTEROCOCCUS GALLINARUM
80185,CAMPYLOBACTER JEJUNI
80186,PSEUDALLESCHERIA BOYDII 
80187,NOCARDIA ASTEROIDES COMPLEX 
80188,SCEDOSPORIUM (APIOSPERMUM) BOYDII COMPLEX
80189,PEDIOCOCCUS SPECIES
80190,SYNCEPHALASTRUM SPECIES
80191,"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE POSITIVE"
80192,"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE NEGATIVE"
80193,CORYNEBACTERIUM UREALYTICUM SP. NOV.
80194,ACINETOBACTER BAUMANNII
80195,AEROMONAS SPECIES
80196,SALMONELLA SPECIES
80197,CITROBACTER YOUNGAE
80198,HAEMOPHILUS INFLUENZAE
80199,MALASSEZIA FURFUR
80200,CHAETOMIUM SPECIES
80201,CITROBACTER KOSERI
80202,LEGIONELLA PNEUMOPHILA 
80204,ENTEROCOCCUS CASSELIFLAVUS
80205,BACTEROIDES UREOLYTICUS GROUP
80206,RHINOVIRUS
80207,STREPTOCOCCUS SPECIES
80208,BURKHOLDERIA SPECIES
80209,LISTERIA SPECIES
80210,CAPNOCYTOPHAGA SPECIES
80211,STACHYBOTRYS SPP.
80212,PORPHYROMONAS SPECIES
80213,"BETA STREPTOCOCCI, NOT GROUP A"
80214,PREVOTELLA (BACTEROIDES) BUCCAE
80215,ASPERGILLUS NIDULANS
80216,ACINETOBACTER SP.
80217,ENTAMOEBA HISTOLYTICA/DISPAR
80218,ENTEROBACTERIACEAE
80220,AFB GROWN IN CULTURE; ADDITIONAL INFORMATION TO FOLLOW
80221,CORYNEBCATERIUM AMYCOLATUM
80222,POSITIVE FOR GROUP B BETA STREPTOCOCCI
80223,PROBABLE ENTEROCOCCUS
80224,BETA STREPTOCOCCUS NOT GROUP A OR B
80225,"NON-FERMENTER, NOT PSEUDOMONAS AERUGINOSA"
80226,PROBABLE LACTOBACILLUS SPECIES
80227,PROBABLE GARDNERELLA VAGINALIS
80228,CANDIDA GLABRATA
80229,PRESUMPTIVE STREPTOCOCCUS BOVIS
80230,POSITIVE FOR INFLUENZA A VIRAL ANTIGEN
80232,PRESUMPTIVE VEILLONELLA SPECIES
80233,PRESUMPTIVE PEPTOSTREPTOCOCCUS SPECIES
80234,PRESUMPTIVE PROPIONIBACTERIUM ACNES
80235,STREPTOCOCCUS ANGINOSUS (MILLERI) GROUP
80236,PRESUMPTIVE CLOSTRIDIUM PERFRINGENS
80237,PRESUMPTIVE CLOSTRIDIUM SEPTICUM
80238,CLOSTRIDIUM SPECIES NOT C. PERFRINGENS OR C. SEPTICUM
80239,"ASPERGILLUS SP. NOT FUMIGATUS, FLAVUS OR NIGER"
80240,PRESUMPTIVE FUSOBACTERIUM MORTIFERUM/VARIUM GROUP
80241,PROBABLE MICROCOCCUS SPECIES
80242,RESEMBLING MICROCOCCUS/STOMATOCOCCUS SPECIES
80243,PORPHYROMONAS SPECIES
80244,PREVOTELLA SPECIES
80245,FUSOBACTERIUM SPECIES
80248,CITROBACTER FREUNDII COMPLEX
80249,FEW BLASTOCYSTIS HOMINIS
80250,MODERATE BLASTOCYSTIS HOMINIS
80251,MANY BLASTOCYSTIS HOMINIS
80252,ALCALIGENES XYLOSOXIDANS
80253,"YEAST, PRESUMPTIVELY NOT C. ALBICANS"
80254,"CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION"
80255,"STAPHYLOCOCCUS SAPROPHYTICUS, PRESUMPTIVE IDENTIFICATION"
80256,HAEMOPHILUS SPECIES NOT INFLUENZAE
80257,POSITIVE FOR INFLUENZA B VIRAL ANTIGEN
80258,MICROSPORIDIUM SPECIES SEEN
80259,POSITIVE FOR M. TUBERCULOSIS BY MTD
80262,"STAPHYLOCOCCUS, COAGULASE NEGATIVE, PRESUMPTIVELY NOT S. SAPROPHYTICUS"
80263,ORGANISM
80264,ACTINOMYCETE
80265,2ND ISOLATE
80266,PANTOEA (ENTEROBACTER) AGGLOMERANS
80267,CRYPTOSPORIDIUM PARVUM OOCYSTS SEEN
80268,PITHOMYCES SP.
80270,CANDIDA DUBLINIENSIS
80271,STREPTOCOCCUS ORALIS
80272,STREPTOCOCCUS VESTIBULARIS
80274,NO GROWTH
80275,TRICHOSPORON ASAHII
80276,RALSTONIA PICKETTII
80278,DEMATIACEOUS MOLD
80279,STREPTOCOCCUS MILLERI GROUP
80280,VIRIDANS STREPTOCOCCI
80281,BACILLUS SPECIES; NOT ANTHRACIS
80282,FONSECAEA PEDROSOI
80284,ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS SS DENTRIFICANS
80285,CANDIDA KEFYR
80286,GORDONIA SPECIES
80288,CANDIDA KRUSEI / CANDIDA INCONSPICUA
80289,MORAXELLA CATARRHALIS
80290,SHEWANELLA SPECIES
80291,BASIDIOMYCETE
80292,"NEISSERIA SPECIES, NOT GONORRHOEAE"
80293,POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS
80294,BURKHOLDERIA CEPACIA GROUP
80295,PRESUMPTIVE GARDNERELLA VAGINALIS
80298,GEMELLA SPECIES
80299,MYCOPLASMA HOMINIS
80300,POSITIVE FOR PNEUMOCYSTIS JIROVECII (CARINII)
80301,CHRYSEOBACTERIUM MENINGOSEPTICUM
80302,PANTOEA SPECIES
80303,ABIOTROPHIA/GRANULICATELLA SPECIES
80304,ACINETOBACTER BAUMANNII COMPLEX
80305,PSEUDOMONAS LUTEOLA
80306,MICROCOCCUS/STOMATOCOCCUS SPECIES
80307,LEPTOTRICHIA TREVISANII
80308,POSITIVE FOR CYTOMEGALOVIRUS
80309,POSITIVE FOR VARICELLA ZOSTER
80310,POSITIVE FOR HERPES SIMPLEX TYPE 1 (HSV1)
80311,POSITIVE FOR HERPES SIMPLEX TYPE 2 (HSV2)
80312,PSEUDOMONAS PUTIDA/FLUORESCENS
90275,PROVIDENCIA ALCALIFACIENS
90276,YERSINIA ENTEROCOLITICA
90279,SHIGELLA BOYDII
90280,SHIGELLA SONNEI
90281,EDWARDSIELLA TARDA
90282,SALMONELLA SPECIES
90283,SALMONELLA TYPHI
90287,ACINETOBACTER LWOFFII
90292,SPHINGOMONAS PAUCIMOBILIS
90294,PLESIOMONAS SHIGELLOIDES
90295,VIBRIO CHOLERAE
90296,VIBRIO ALGINOLYTICUS
90297,VIBRIO PARAHAEMOLYTICUS
90301,BRUCELLA SPECIES
90302,ANAEROBIC GRAM NEGATIVE COCCI
90305,MYCOBACTERIUM SPECIES
90310,HAEMOPHILUS APHROPHILUS
90313,BACTEROIDES SPECIES
90320,GRAM NEGATIVE BACTERIA
90321,HISTOPLASMA CAPSULATUM
90322,MYCOPLASMA SPECIES
90324,PSEUDOMONAS STUTZERI
90327,CARDIOBACTERIUM HOMINIS
90330,MYCOBACTERIUM CHELONAE
90331,SERRATIA ODORIFERA
90332,PSEUDOMONAS ALCALIGENES
90333,MYCOBACTERIUM KANSASII
90336,CANDIDA RUGOSA
90339,CRYPTOCOCCUS LAURENTII
90340,GEOTRICHIUM SPECIES
90346,PREVOTELLA MELANINOGENICA
90349,MYCOBACTERIUM TERRAE
90350,STREPTOCOCCUS MUTANS
90351,CAMPYLOBACTER FETUS
90352,CLOSTRIDIUM CLOSTRIDIIFORME
90353,MYCOBACTERIUM SCROFULACEUM
90355,STREPTOCOCCUS INTERMEDIUS
90359,NEISSERIA SUBFLAVA
90360,STREPTOCOCCUS UBERIS
90361,HEMOPHILUS HEMOLYTICUS
90362,VERTICILLIUM SP.
90363,HAEMOPHILUS PARAHAEMOLYTICUS
90368,SALMONELLA PARATYPHI A
90370,SERRATIA FONTICOLA
90372,YERSINIA INTERMEDIA
90374,CLOSTRIDIUM TERTIUM
90375,SHIGELLA SPECIES
90376,PEPTOSTREPTOCOCCUS MICROS
90377,CLOSTRIDIUM RAMOSUM
90378,ROTHIA DENTOCARIOSA
90379,CAPNOCYTOPHAGA OCHRACEA
90380,SCOPULARIOPSIS SP.
90383,ACTINOBACILLUS ACTINOMYCETEMCOMITANS
90386,ACTINOMYCES NAESLUNDII
90387,MYCOBACTERIUM BOVIS
90390,TRICHOPHYTON RUBRUM
90391,LACTOBACILLUS ACIDOPHILUS
90392,ARCANOBACTERIUM HAEMOLYTICUM
90398,ACTINOMYCES ISRAELII
90399,SALMONELLA TYPHIMURIUM
90403,ESCHERICHIA VULNERIS
90404,SALMONELLA MUENSTER
90405,SALMONELLA MONTEVIDEO
90406,SALMONELLA AGONA
90407,CLOSTRIDIUM INNOCUUM
90408,ENTAMOEBA SP.
90410,CHILOMASTIX MESNILI
90411,GIARDIA CYSTS
90412,SALMONELLA HEIDELBERG
90415,SALMONELLA NEWPORT
90418,SALMONELLA MUENCHEN
90420,TAENIA SP.
90421,STRONGYLOIDES
90422,HOOKWORM
90425,DIENTAMOEBA FRAGILIS
90426,TAENIA SAGINATA
90427,SALMONELLA THOMPSON
90429,HERPES SIMPLEX VIRUS
90430,SALMONELLA DUBLIN
90431,"LEGIONELLA PNEUMOPHILA, GROUP 1"
90433,MYCOBACTERIUM FLAVESCENS
90434,SALMONELLA SAINTPAUL
90438,FRANCISELLA TULARENSIS
90439,CUNNINGHAMELLA SP.
90440,SALMONELLA SCHWARZENGRUND
90443,ALTERNARIA SP.
90444,EPIDERMOPHYTON FLOCCOSUM
90445,MALBRANCHEA SP.
90447,ENTEROBIUS VERMICULARIS
90448,SALMONELLA BRAENDERUP
90450,MORAXELLA NONLIQUIFACIENS 
90452,ENTEROBACTER AMNIGENUS 2 
90453,ESCHERICHIA HERMANNII
90454,PROTEUS PENNERI
90455,ENTEROBACTER AMNIGENUS 1
90456,LECLERCIA ADECARBOXYLATA
90457,AGROBACTERIUM RADIOBACTER
90459,NEISSERIA MUCOSA
90461,KINGELLA SPECIES
90462,MICROSPORUM CANIS
90464,SALMONELLA JAVIANA
90466,LACTOBACILLUS SALIVARIUS SS. SALIVARIUS
90470,GARDNERELLA  VAGINALIS
90472,ALCALIGENES FAECALIS
90476,MYCOBACTERIUM AVIUM
90484,SALMONELLA ORANIENBURG
90486,STAPHYLOCOCCUS SACCHAROLYTICUS
90487,ACHROMOBACTER (ALCALIGENES) DENTRIFICANS
90489,MYCOBACTERIUM SZULGAI
90491,ULOCLADIUM SP.
90492,RHODOTORULA GLUTINIS
90494,ASPERGILLUS TERREUS
90497,MICROCOCCUS LUTEUS
90498,MYCOBACTERIUM XENOPI
90500,STAPHYLOCOCCUS SCHLEIFERI
90501,PEPTOSTREPTOCOCCUS SP.
90502,TRICHOSPORON SPECIES
90503,SALMONELLA INFANTIS
90507,SALMONELLA STANLEY
90508,ACTINOMYCES SP.
90509,YERSINIA SP.
90511,STAPHYLOCOCCUS INTERMEDIUS
90512,DERMATOPHYTE
90513,TRICHOMONAS VAGINALIS
90514,MYCOBACTERIUM MARINUM
90518,ENTEROCOCCUS RAFFINOSUS
90519,LEUCONOSTOC MESENTEROIDES
90521,CORYNEBACTERIUM MINUTISSIMUM
90522,CAMPYLOBACTER UPSALIENSIS
90526,PARAINFLUENZA VIRUS TYPE 2
90528,PREVOTELLA (BACTEROIDES) SPECIES
90530,PSEUDOMONAS FLUORESCENS
90532,CAMPYLOBACTER COLI
90533,HYMENOLEPIS NANA
90536,ESCHERICHIA COLI O157:H7
90537,SPHINGOBACTERIUM MULTIVORUM
90541,COMAMONAS TESTOSTERONI
90543,OLIGELLA URETHRALIS
90544,STAPHYLOCOCCUS SCIURI
90545,TRICHOPHYTON MENTAGROPHYTES
90549,ENTEROCOCCUS DURANS
90550,MALASSEZIA SPECIES
90552,ROSEOMONAS GILARDII
90557,NOCARDIA OTITIDISCAVIARUM (CAVIAE)
90559,ESCHERICHIA SPECIES
90560,MYCOBACTERIUM CELATUM
90564,NOCARDIA BRASILIENSIS
90566,NOCARDIA NOVA
90567,CYCLOSPORA SPECIES
90571,BURKHOLDERIA GLADIOLI
90574,ENTEROVIRUS
90579,DIPHYLLOBOTHRIUM SP.
90581,EXOPHIALA SPECIES
90584,ANAEROBIC GRAM POSITIVE BACTERIA
90585,PENICILLIUM MARNEFFEI
90590,PREVOTELLA ORALIS
90592,TSUKAMURELLA SPECIES
90596,CAMPYLOBACTER LARI
90598,EXOPHIALA (WANGIELLA) DERMATITIDIS
90601,MYCOBACTERIUM MALMOENSE
90606,CORYNEBACTERIUM ACCOLANS (CDC GROUP 6)
90608,DERMABACTER HOMINIS
90609,WORM
90620,TICK CONSISTENT WITH IXODES SPECIES
90621,TICK NOT CONSISTENT WITH IXODES SPECIES
90623,SALMONELLA SANDIEGO
90626,STAPHYLOCOCCUS SIMULANS
90627,LEGIONELLA SPECIES
90634,POSITIVE FOR MICROSPORIDIA SPECIES
90635,SALMONELLA OSLO
90636,IODAMOEBA BUTSCHLII
90638,RARE BLASTOCYSTIS HOMINIS
90639,BACTEROIDIES THETAIOTAOMICRON
90640,BIPOLARIS SPECIES
90641,MYCOBACTERIUM ABSCESSUS
90643,CYCLOSPORA SPECIES SEEN
90644,GIARDIA LAMBLIA SEEN
90645,PINWORM EGG(S) SEEN
90646,TRICHOMONAS VAGINALIS SEEN
90650,SCOPULARIOPSIS BREVICAULIS
90653,SALMONELLA MBANDAKA
90655,ROSEOMONAS MUCOSA
90656,SPHINGOMONAS SPECIES
90657,SALMONELLA ANATUM
90660,PHOMA SPECIES
90665,EPICOCCUM SPECIES
90667,TRICHOSPORON MUCOIDES
90668,GLIOCLADIUM SP.
90669,SALMONELLA TELELKEBIR
90671,STEMPHYLIUM SP.
90672,NIGROSPORA SPECIES
90678,MICROBACTERIUM SPECIES
90679,STAPHYLOCOCCUS HAEMOLYTICUS
90680,SALMONELLA CORVALLIS
90681,STAPHYLOCOCCUS CAPRAE/CAPITIS
90683,PROTEUS VULGARIS GROUP
90686,STAPHYLOCOCCUS COHNII SS UREALYTICUM
90688,ERYSIPELOTHRIX RHUSIOPATHIAE
90689,SALMONELLA KIAMBU
90693,BEAUVERIA BASSIANA
90695,DELFTIA ACIDOVORANS
90696,CARDIOBACTERIUM SPECIES
90697,ACTINOMYCES TURICENSIS
90698,HUMICOLA SPECIES
90702,ENTEROBACTER CANCEROGENUS
90705,PSEUDOMONAS ORYZIHABITANS
90706,CUNNINGHAMELLA BERTHOLLETIAE
90707,BETA STREP NOT GROUP A OR ANGINOSUS (MILLERI)
90708,"BETA STREP NOT GROUP A, B OR ANGINOSUS (MILLERI)"
90709,CHRYSEOBACTERIUM INDOLOGENES
90710,SYTALIDIUM SPECIES
90711,AEROMONAS HYDROPHILA COMPLEX
90712,MYROIDES SPECIES
90713,MYCOBACTERIUM MUCOGENICUM
90714,CONIDIOBOLUS SPECIES
90715,SALMONELLA BARRANQUILLA
90716,CUPRIAVIDUS METALLIDURANS
90717,LACTOBACILLUS GASSERI
90718,AEROCOCCUS SPECIES
90719,PHAEOACREMONIUM SPECIES
90721,POSITIVE FOR PARAINFLUENZA TYPE 1
90722,POSITIVE FOR PARAINFLUENZA TYPE 2
90723,POSITIVE FOR PARAINFLUENZA TYPE 3
90724,POSITIVE FOR ADENOVIRUS
90725,POSITIVE FOR RESPIRATORY SYNCYTIAL VIRUS (RSV)
90726,POSITIVE FOR PARAINFLUENZA VIRUS
90727,POSITIVE FOR HERPES SIMPLEX (HSV)
90728,SERRATIA LIQUEFACIENS COMPLEX
90729,DESULFOVIBRIO DESULFURICANS
90730,BURKHOLDERIA XENOVORANS
90733,PEPTONIPHILUS (PEPTOSTREPTOCOCCUS) SPECIES
90734,FINEGOLDIA (PEPTOSTREPTOCOCCUS) SPECIES
90735,AGGREGATIBACTER SPECIES
90736,AGGREGATIBACTER (HAEMOPHILUS) APHROPHILUS
90737,ALCALIGENES SPECIES
90738,ELIZABETHKINGIA (CHRYSEOBACTERIUM) MENIGOSEPTICA
90739,GLOBICATELLA SPECIES
90740,LACTOCOCCUS SPECIES
90741,ROTHIA MUCILAGINOSA
90742,STAPHYLOCOCCUS CAPITIS
90743,STAPHYLOCOCCUS CAPRAE
90744,STAPHYLOCOCCUS HOMINIS
90745,STAPHYLOCOCCUS SAPROPHYTICUS
90746,STAPHYLOCOCCUS WARNERI
90747,STREPTOCOCCUS MITIS/ORALIS
90748,STREPTOCOCCUS INFANTARIUS SSP. COLI (STREPTOCOCCUS BOVIS)
90749,STREPTOCOCCUS SALIVARUS
90750,RHIZOBIUM RADIOBACTER
90752,MALASSEZIA PACHYDERMATIS
90753,IXODES SPECIES
90754,PASTEURELLA SPECIES
90755,STREPTOCOCCUS GALLOLYTICUS SSP. PASTEURIANUS (STREPTOCOCCUS BOVIS)
90756,HERBASPIRILLUM SPECIES
90757,ROSEOMONAS SPECIES
90758,STAPHYLOCOCCUS WARNERI/PASTEURI
90759,RAOULTELLA ORNITHINOLYTICA
90760,CANCELLED
90761,MYCOBATERIUM HAEMOPHILUM
90762,NEOSCYTALIDIUM DIMIDIATUM
90763,ENTEROBACTER CLOACAE COMPLEX
90764,LEPTOTRICHIA HOFSTADII
90765,DOLOSIGRANULUM PIGRUM
90766,SLACKIA EXIGUA
90767,OCHROBACTRUM SPECIES
90768,TICK
90769,NOCARDIA FARCINICA
90771,OCHROBACTRUM INTERMEDIUM
90772,GRAPHIUM EUMORPHUM
90773,GEMELLA HAEMOLYSANS
90774,ENTEROCOCCUS HIRAE
90775,USTILAGO SPECIES
90776,STREPTOCOCCUS GALLOLYTICUS SSP. GALLOLYTICUS (STREPTOCOCCUS BOVIS)
90778,ACHROMOBACTER SPECIES
90779,ACHROMOBACTER  DENTRIFICANS
90780,ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS
90783,STREPTOCOCCUS BOVIS GROUP
90784,PSEUDOMONAS MENDOCINA
90785,MIXED BACTERIAL FLORA
90786,STREPTOCOCCUS MITIS GROUP
90787,STREPTOCCUS SALIVARIUS GROUP
90789,MYCOBACTERIUM ABSCESSUS GROUP
90791,GORDONIA SPUTI
90793,EMMONSIA SPECIES
90794,BREVIBACTERIUM CASEI
90795,CANDIDA FAMATA
90796,SPOROTHRIX SCHENCKII COMPLEX
90797,NOCARDIA TRANSVALENSIS COMPLEX
90798,ALLOIOCOCCUS OTITIS
90799,STREPTOCOCCUS INFANTARIUS SSP. INFANTARIUS (STREPTOCOCCUS BOVIS)
90801,LACTOBACILLUS RHAMNOSUS
90802,ALACALIGENES SPECIES
90803,STREPTOCOCCUS PORCINUS
90804,STREPTOCOCCUS PORCINUS/PSEUDOPORCINUS
90805,PASTEURELLA CANIS
90806,SHEWANELLA ALGAE
90807,ACHROMOBACTER SP.
90808,MICROMONOSPORA SPECIES
90809,STAPHYLOCOCCUS PSEUDINTERMEDIUS
90811,COCCIDIOIDES IMMITIS/POSADASII
90812,AEROCOCCUS URINAE
90813,ACINETOBACTER RADIORESISTENS
90814,ARTHROGRAPHIS SPECIES
90815,RAOULTELLA PLANTICOLA
90816,ACHROMOBACTER XYLOSOXIDANS
90817,GRANULICATELLA ADIACENS
90818,PRESUMPTIVE POSITIVE FOR LEGIONELLA SEROGROUP 1 ANTIGEN
90819,POSITIVE FOR CRYPTOCOCCAL ANTIGEN
90820,BREVUNDIMONAS VESICULARIS
90821,MYCOBACTERIUM CHIMAERA INTRACELLULARE GROUP
90822,MYCOBACTERIUM MAGERITENSE
90823,LOMENTOSPORA PROLIFICANS (FORMERLY SCEDOSPORIUM PROLIFICANS)
90824,STREPTOCOCCUS SANGUINIS
90825,RHINOCLADIELLA SP.
90826,STAPHYLOCOCCUS AURICULARIS
90827,CANDIDA AURIS
90828,ZYGOSACCHAROMYCES FERMENTATI
90829,ACRODONTIUM SALMONEUM
90830,STREPTOCOCCUS GORDONII
90831,MUCOR IRREGULARIS
90832,BACTEROIDES DOREI/VULGATUS
90834,ASPERGILLUS FUMIGATUS COMPLEX
90835,PARACOCCUS YEEI
90836,STREPTOCOCCUS PARASANGUINIS
90837,PROTEUS HAUSERI
90838,MYCOBACTERIUM ASIATICUM
90839,ACTINOTIGNUM SANGUINIS
90840,S. AUREUS POSITIVE; MRSA POSITIVE
90841,SAPROCHAETE (FORMERLY GEOTRICHUM) CAPITATA
90842,MYCOBACTERIUM PARAGORDONAE
90843,CITROBACTER SEDLAKII
90844,GEMELLA BERGERI
90845,MYCOBACTERIUM LENTIFLAVUM
90846,CUTIBACTERIUM ACNES
90847,CUTIBACTERIUM AVIDUM
90848,KOCURIA KRISTINAE
90849,S. AUREUS POSITIVE; MRSA NEGATIVE
90850,BACILLUS CIRCULANS GROUP
90851,SCEDOSPORIUM APIOSPERMUM COMPLEX
90852,BIFIDOBACTERIUM LONGUM
90853,EUBACTERIUM LIMOSUM
90854,DESULFOVIBRIO LEGALLII
90855,POSITIVE
90856,NEGATIVE
90858,NEOASCOCHYTA DESMAZIERI
90859,RHODATORULA MUCILAGINOSA
